,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,590.0,426.0,627.0,627.0,627.0,627.0
mean,9.059614646257211,6.937006018146999,8.081807895328902,5.00290144041384,4.486874498628653,4.58902448025304
std,1.9089649021312178,1.1529789647086082,0.3794346555461136,0.4232940685059899,0.07339912423860201,0.15328557379348087
min,5.338004317736194,4.434480273019832,7.485822622723248,4.325586842263398,4.336605057065054,4.290817540517112
25%,7.9232744985160934,5.851384712232968,7.726453879211257,4.611767541105127,4.433360261982186,4.474666735073802
50%,9.271829138404227,7.4123662891301,8.008827836232046,4.93225125611691,4.477785460936033,4.554999709426693
75%,10.646779383632548,7.893956923992953,8.38797809346501,5.348632775935733,4.546666666975868,4.662919572509192
max,11.713958623143924,8.482880927715952,8.84360642568265,5.824846525969021,4.616692371336529,4.967599492099399
skewness,-0.5652116438021899,-0.561856838317817,0.22641325497968573,0.1499626675986811,0.14784688933542484,0.7448345588207149
kurtosis,-0.9039970023499442,-1.1684605766719822,-1.1521453656199196,-1.2017883706829608,-1.0666594634202569,-0.27880682669723234
