,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,589.0,425.0,626.0,626.0,626.0,626.0
mean,0.009169992885691067,0.005397717538129835,0.002106273457046857,0.0023370945045839116,0.00041148804872651545,0.000264860938489953
std,0.09195497595048276,0.12024625709715893,0.022957656695816404,0.023506823227843927,0.006824199433663923,0.019361694378152668
min,-0.4944843023255069,-0.6033554675491045,-0.16227902025217159,-0.16555693245418285,-0.05224981316601258,-0.08005220334176733
25%,-0.031137762086571773,-0.056783521877617205,-0.008588363425048711,-0.008950004380885746,-0.002736673887773437,-0.010550362681863266
50%,0.006961098313610977,0.0025242738200679203,0.0036492934914688292,0.003923603272162829,0.0006156648221818592,0.00117551538126497
75%,0.05174398683367765,0.0704413335086107,0.014594228122507637,0.014993092903240144,0.004085645501648623,0.012515010513932803
max,0.41188305275938836,0.506363113842182,0.11423674659145207,0.12179131141962725,0.049123158926938526,0.0726680154229989
skewness,-0.22399052796952226,-0.35875789159962873,-0.9110394052910264,-0.8759872453386284,-0.2281010176149631,-0.3515017024749829
kurtosis,3.1311476397580464,3.1732037099525394,7.391891671035726,7.477984549891806,10.092123733896587,1.2891051363679304
