,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,590.0,426.0,627.0,627.0,627.0,627.0
mean,9.059614646257211,6.937006018146999,8.081807895328902,5.002901441087755,4.486874504310989,4.589024506183332
std,1.9089649021312178,1.1529789647086082,0.3794346555461136,0.4232940618045739,0.0733991254336561,0.1532855792370273
min,5.338004317736194,4.434480273019832,7.485822622723248,4.325587044072862,4.336605456261193,4.290817227092558
25%,7.9232744985160934,5.851384712232968,7.726453879211257,4.611767654556329,4.433360397866547,4.474666735069578
50%,9.271829138404227,7.4123662891301,8.008827836232046,4.932251146097176,4.477785547594807,4.554998987452787
75%,10.646779383632548,7.893956923992953,8.38797809346501,5.348632775935733,4.546666828689643,4.662919680309521
max,11.713958623143924,8.482880927715952,8.84360642568265,5.824846525969021,4.616692295916609,4.967599704496689
skewness,-0.5652116438021899,-0.561856838317817,0.22641325497968573,0.1499626858687406,0.14784637023581468,0.7448342827572875
kurtosis,-0.9039970023499442,-1.1684605766719822,-1.1521453656199196,-1.2017883298844763,-1.0666589752098827,-0.2788073745284345
