,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,589.0,425.0,626.0,626.0,626.0,626.0
mean,0.009169992885691067,0.005397717538129835,0.002106273457046857,0.002337094504583913,0.0004114874110330055,0.00026486143916815033
std,0.09195497595048276,0.12024625709715893,0.022957656695816404,0.023506812885022224,0.006824202370622104,0.01936168979494208
min,-0.4944843023255069,-0.6033554675491045,-0.16227902025217159,-0.1655567873281288,-0.05224901669930401,-0.08005278713108621
25%,-0.031137762086571773,-0.056783521877617205,-0.008588363425048711,-0.008949943057409869,-0.002736553059314203,-0.010549965460137287
50%,0.006961098313610977,0.0025242738200679203,0.0036492934914688292,0.0039239623847749875,0.000615983421828285,0.001175663545673381
75%,0.05174398683367765,0.0704413335086107,0.014594228122507637,0.014993093621096323,0.004085587797760491,0.012514790904699407
max,0.41188305275938836,0.506363113842182,0.11423674659145207,0.12179139429076977,0.0491233083872658,0.07266777175273251
skewness,-0.22399052796952226,-0.35875789159962873,-0.9110394052910267,-0.8759840175577157,-0.22808296763694078,-0.35150514324877763
kurtosis,3.1311476397580464,3.1732037099525394,7.391891671035726,7.477971600616833,10.091786611667551,1.2891121118357436
