param_learning_rate,param_max_depth,param_n_estimators,mean_test_rmse,mean_test_r2,rank_test_rmse
0.03,2,100,0.055533506898412785,-1.0413794547835007,1
0.03,3,100,0.05698258269285308,-1.2360859425091764,2
0.03,4,100,0.05899116480514124,-1.4408791974737531,3
0.05,2,100,0.0597696978927895,-1.515519467604832,4
0.03,2,200,0.060884905576804794,-1.6491037230772292,5
0.05,3,100,0.06139374122263954,-1.7685862947984692,6
0.03,3,200,0.06212289152799098,-1.851257472563454,7
0.05,4,100,0.06312272990382872,-1.911234381805733,8
0.1,3,100,0.06380426561957311,-2.1284318930733748,9
0.05,2,200,0.06392358798272971,-2.0322278319573877,10
0.03,4,200,0.06429478268879568,-2.08392296568222,11
0.1,2,100,0.06438386280462019,-2.103441921754217,12
0.05,3,200,0.06445103839580264,-2.1570603390615104,13
0.03,3,400,0.06481299596217575,-2.224429108758095,14
0.03,2,400,0.06488248488537043,-2.167884593302131,15
0.1,3,200,0.06557943708614639,-2.339054443954641,16
0.1,4,100,0.06570088163985774,-2.2832599804396083,17
0.05,4,200,0.06638754767749733,-2.3196386540906655,18
0.05,3,400,0.06639570866608405,-2.4273272707874365,19
0.05,2,400,0.06668066734073484,-2.434957957857076,20
0.03,4,400,0.06671070623271882,-2.394492040262416,21
0.1,4,200,0.06711618757338259,-2.458312330833816,22
0.1,2,200,0.06723614596940229,-2.4861340848096942,23
0.1,3,400,0.0677920734536557,-2.6390683776038832,24
0.1,4,400,0.06816666839331147,-2.6049830245197656,25
0.05,4,400,0.06848847395689903,-2.591214211968713,26
0.1,2,400,0.06983512318104382,-2.880080531224489,27
