param_learning_rate,param_max_depth,param_n_estimators,mean_test_rmse,mean_test_r2,rank_test_rmse
0.03,2,100,0.059639222249927494,-0.5955684628695034,1
0.05,2,100,0.06139908233588687,-0.7150942458696388,2
0.03,4,100,0.06200674638783502,-0.7462672372610691,3
0.03,3,100,0.06228714071661512,-0.7943369383034201,4
0.03,2,200,0.0628540826305723,-0.8383898268135288,5
0.05,4,100,0.06340332575155513,-0.8018097759303131,6
0.03,4,200,0.06383429387247316,-0.838607523473945,7
0.05,3,100,0.06451250684690138,-0.9400468049470054,8
0.03,3,200,0.06454611245960293,-0.9669366365534906,9
0.05,2,200,0.06541404173581435,-0.9983942323891742,10
0.05,4,200,0.06584898246958808,-0.9512771944298126,11
0.03,4,400,0.06594357040258197,-0.9536653350110885,12
0.1,4,100,0.06658210667077488,-1.0141126527647775,13
0.1,2,100,0.06670623212086624,-1.1384566088628953,14
0.1,3,100,0.06685480228024712,-1.106105177176456,15
0.05,3,200,0.06694714883680052,-1.118266525766843,16
0.05,4,400,0.067220537023246,-0.9834671375452724,17
0.03,2,400,0.06758644622447105,-1.2081571104718936,18
0.1,4,200,0.0681149582095196,-1.0817652799886222,19
0.03,3,400,0.06815023246385958,-1.2165078496529147,20
0.1,4,400,0.06839431035410494,-1.0807657157344006,21
0.1,3,200,0.06864621470884952,-1.188661109247911,22
0.1,3,400,0.06922270068922817,-1.129906012562126,23
0.05,3,400,0.06994831068588084,-1.3233213300804745,24
0.05,2,400,0.07083599357303087,-1.4587773245819586,25
0.1,2,200,0.07111197317721205,-1.5193848791807767,26
0.1,2,400,0.07422990257554062,-1.713136557204765,27
